OFFICE TYPE	SITE NAME	ADDRESS	SUBURB	STATE	POSTCODE	LATITUDE	LONGITUDE	Geo Coordinate
Centrelink Customer Service Centre	Port Macquarie	5-7 Short Street	Port Macquarie	NSW	2444	-31.42974	152.90668	-31.42974;152.90668
Centrelink Customer Service Centre	Port Augusta	99 Commercial Road	Port Augusta	SA	5700	-32.49421	137.76421	-32.49421;137.76421
Centrelink Customer Service Centre	Queanbeyan	183 Crawford Street	Queanbeyan	NSW	2620	-35.35187	149.23298	-35.35187;149.23298
Centrelink Customer Service Centre	Raymond Terrace	37-39 Sturgeon Street	Raymond Terrace	NSW	2324	-32.76431	151.7424	-32.76431;151.7424
Centrelink Customer Service Centre	Rockingham	18 Civic Boulevarde	Rockingham	WA	6168	-32.28626	115.74637	-32.28626;115.74637
Centrelink Customer Service Centre	Margate	279-287 Oxley Avenue	Margate	QLD	4019	-27.24345	153.10666	-27.24345;153.10666
Centrelink Customer Service Centre	Caboolture	20-22 George Street	Caboolture	QLD	4510	-27.08205	152.94853	-27.08205;152.94853
Centrelink Customer Service Centre	Redfern	140 Redfern Street	Redfern	NSW	2016	-33.8924	151.2026	-33.8924;151.2026
Centrelink Customer Service Centre	Rouse Hill	"Shop GR76, Rouse Hill Town Centre, 10-14 Market Lane"	Rouse Hill	NSW	2155	-33.691	150.92435	-33.691;150.92435
Centrelink Customer Service Centre	Ringwood	2-6 Bond Street	Ringwood	VIC	3134	-37.81396	145.22638	-37.81396;145.22638
Centrelink Customer Service Centre	Rockdale	75 Railway Street	Rockdale	NSW	2216	-33.9509	151.13674	-33.9509;151.13674
Centrelink Customer Service Centre	Rockhampton Jobseekers	190-194 Musgrave Street	Rockhampton	QLD	4700	-23.3614	150.5233	-23.3614;150.5233
Centrelink Customer Service Centre	Roma	39 Hawthorne Street	Roma	QLD	4455	-26.57257	148.78774	-26.57257;148.78774
Centrelink Customer Service Centre	Rosebud	3 Jetty Road	Rosebud	VIC	3939	-38.35533	144.90943	-38.35533;144.90943
Centrelink Customer Service Centre	Rowville	5 Fulham Road	Rowville	VIC	3178	-37.91754	145.23712	-37.91754;145.23712
Centrelink Customer Service Centre	Sale	150-154 York Street	Sale	VIC	3850	-38.1081	147.06899	-38.1081;147.06899
Centrelink Customer Service Centre	South Brisbane	"36 Annerley Road, Woolloongabba"	Brisbane	QLD	4102	-27.48756	153.02929	-27.48756;153.02929
Centrelink Customer Service Centre	Sunbury	33-37 Evans Street	Sunbury	VIC	3429	-37.57907	144.72996	-37.57907;144.72996
Centrelink Customer Service Centre	Seymour	8 Henry Street	Seymour	VIC	3660	-37.02385	145.13723	-37.02385;145.13723
Centrelink Customer Service Centre	South Hedland	3 Brand Street (cnr Brand and Tonkin Sts)	South Hedland	WA	6722	-20.40767	118.59938	-20.40767;118.59938
Centrelink Customer Service Centre	Shepparton	296-298 Maude Street	Shepparton	VIC	3630	-36.3851	145.39969	-36.3851;145.39969
Centrelink Customer Service Centre	Singleton	6 William Street	Singleton	NSW	2330	-32.56411	151.16969	-32.56411;151.16969
Centrelink Customer Service Centre	Salisbury	32-38 Gawler Street	Salisbury	SA	5108	-34.76	138.6432	-34.76;138.6432
Centrelink Customer Service Centre	South Melbourne	94 York Street	South Melbourne	VIC	3205	-37.83069	144.95906	-37.83069;144.95906
